Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Kharghar,1400,16000000,0,Apartment,3,4,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1117,11100000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1125,12700000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,675,6000000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1100,11000000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,650,5000000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,675,6500000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Airoli,450,5500000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,560,6000000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,650,5500000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1075,10500000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,735,7000000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,600,4600000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1000,8000000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1070,10600000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1182,11500000,0,Independent House,2,3,3,,0,0,1,1,1,0,0,0,0,0
Kharghar,911,10500000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1125,12700000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1025,9900000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Dombivali,555,3800000,0,Apartment,1,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Dombivali,600,3600000,0,Apartment,1,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Dombivali,550,3700000,0,Apartment,1,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Dombivali,600,3000000,0,Apartment,1,1,4,,1,1,1,1,1,0,0,0,0,0
Dombivali,950,7600000,0,Apartment,3,4,More than 5,,1,1,1,1,1,0,0,0,0,0
